species	point	bm	specnr	count1	count2	count3	count4	count5
fricoe	610	23	31	0	1	0	0	0
erirub	610	17	27	0	0	0	0	0
trotro	610	10	78	0	0	0	0	0
prumod	610	21	65	0	0	0	0	0
turmer	610	93	79	0	0	0	0	1
turphi	610	70	80	1	0	1	0	0
phycol	610	8	58	0	1	0	0	0
phytro	610	9	60	0	0	0	0	0
physib	610	10	59	0	0	0	0	0
parmaj	610	19	50	1	0	1	0	0
parcae	610	12	48	1	0	0	0	1
parpal	610	11	52	0	0	0	0	0
parmon	610	11	51	0	0	0	0	0
parcri	610	11	49	0	0	0	0	0
parate	610	10	47	0	0	0	0	0
aegcau	610	8	4	0	0	0	0	0
cerbra	610	9	13	0	0	0	0	0
cerfam	610	9	14	0	0	0	0	0
regreg	610	6	67	0	0	0	0	0
regign	610	5	66	0	0	0	0	0
siteur	610	23	70	1	0	0	0	0
anttri	610	22	7	0	0	0	0	0
embcit	610	29	25	0	2	2	2	1
sylatr	610	19	73	0	1	0	0	0
sylbor	610	19	74	0	0	0	0	0
sylcur	610	12	76	0	1	0	0	0
sylcom	610	15	75	0	1	1	0	1
ficalb	610	13	30	0	0	0	0	0
apuapu	610	42	8	0	0	0	0	2
denmaj	610	81	21	0	0	0	0	0
denmed	610	63	22	0	0	0	0	0
picvir	610	191	63	0	0	0	0	0
piccan	610	127	61	0	0	0	0	0
drymar	610	310	24	0	0	0	0	0
jyntor	610	36	37	0	1	1	0	0
denmin	610	21	23	0	0	0	0	0
musstr	610	15	45	0	0	0	0	0
cuccan	610	126	18	0	0	1	0	0
gargla	610	161	34	0	0	0	0	0
alaarv	610	37	5	2	0	0	0	0
stuvul	610	82	72	0	0	2	0	0
carchl	610	28	11	1	0	0	1	0
serser	610	12	69	0	1	0	1	1
pasdom	610	32	53	1	3	0	2	0
pasmon	610	23	54	0	0	4	4	5
carcar	610	17	10	0	0	3	0	1
coccoc	610	55	16	0	0	0	0	0
motalb	610	22	43	0	0	1	0	0
larrid	610	266	39	0	0	0	0	0
rempen	610	10	68	0	0	0	0	0
colpal	610	514	17	0	0	0	0	0
strdec	610	198	71	0	0	0	0	0
embsch	610	20	26	0	0	0	0	0
phooch	610	16	56	1	0	0	1	0
phopho	610	15	57	0	0	0	0	0
acrpal	610	13	3	0	0	0	0	0
hipict	610	14	35	0	1	0	0	0
hirrus	610	20	36	0	0	0	0	1
delurb	610	19	20	0	0	0	5	1
lusmeg	610	23	42	0	0	0	0	0
anapla	610	896	6	0	0	0	0	0
fulatr	610	747	32	0	0	0	0	0
podcri	610	943	64	0	0	0	0	0
cygolo	610	10550	19	0	0	0	0	0
phacol	610	1150	55	0	0	0	0	1
acrcsi	610	12	2	0	0	0	0	0
carfla	610	11	12	0	0	0	0	0
loxcur	610	41	40	0	0	0	0	0
galchl	610	261	33	0	0	0	0	0
lularb	610	29	41	0	0	0	0	0
butbut	610	848	9	0	0	0	0	0
ciraer	610	590	15	0	0	0	0	0
accnis	610	194	1	0	0	0	0	0
faltin	610	220	29	0	0	0	0	0
falsub	610	238	28	0	0	0	0	0
lancol	610	30	38	0	0	0	0	0
picpic	610	200	62	0	0	0	0	0
motcin	610	18	44	0	0	0	0	0
trioch	610	89	77	0	0	0	0	0
oriori	610	68	46	0	1	1	1	1
corcora	610	1139	105	0	0	0	0	0
strtur	610	153	138	0	0	0	0	1
ficpar	610	10	113	0	0	0	0	0
turpil	610	99	142	0	0	0	0	0
turvis	610	113	144	0	0	0	0	0
coloen	610	303	104	0	0	0	0	0
carspi	610	12	97	0	0	0	0	0
carcan	610	19	95	1	1	2	0	0
saxrub	610	18	134	0	0	0	0	0
locnae	610	14	120	0	0	0	0	0
loclus	610	17	119	0	0	0	0	0
locflu	610	20	118	0	0	0	0	0
accgen	610	979	81	0	0	0	0	0
cotcot	610	101	109	0	0	0	0	0
riprip	610	14	133	0	0	0	0	0
corcoro	610	506	106	0	0	0	0	0
alcatt	610	44	85	0	0	0	0	0
pyrpyr	610	28	132	0	0	0	0	0
corfru	610	406	107	0	0	0	0	0
acthyp	610	54	84	0	0	0	0	0
cormon	610	230	108	0	0	0	0	0
ciccic	610	3387	99	0	0	0	0	0
stralu	610	463	137	0	0	0	0	0
milmig	610	846	123	0	0	0	0	0
vanvan	610	211	146	0	0	0	0	0
motfla	610	17	125	0	0	0	0	0
milcal	610	50	122	1	0	0	1	0
saxtor	610	16	135	0	0	0	0	0
lanexc	610	67	117	0	0	0	0	0
sylnis	610	24	139	0	0	0	0	0
upuepo	610	69	145	0	0	0	0	0
cicnig	610	2941	100	0	0	0	0	0
densyr	610	76	111	0	0	0	0	0
bubbub	610	2615	93	0	0	0	0	0
crecre	610	159	110	0	0	0	0	0
antpra	610	19	89	0	0	0	0	0
acraru	610	32	82	0	0	0	0	0
aytful	610	803	92	0	0	0	0	0
aytfer	610	848	91	0	0	0	0	0
cirpyg	610	348	103	0	0	0	0	0
circya	610	454	102	0	0	0	0	0
perper	610	365	130	0	0	0	0	0
lussve	610	19	121	0	0	0	0	0
ansans	610	3310	88	0	0	0	0	0
anastr	610	718	87	0	0	0	0	0
halalb	610	5573	116	0	0	0	0	0
galgal	610	105	115	0	0	0	0	0
buccla	610	774	94	0	0	0	0	0
chadub	610	40	98	0	0	0	0	0
acrsch	610	13	83	0	0	0	0	0
ardcin	610	1452	90	0	0	0	0	0
tacruf	610	212	140	0	0	0	0	0
stehir	610	123	136	0	0	0	0	0
nucar	610	163	126	0	0	0	0	0
tettet	610	1138	141	0	0	0	0	0
perapi	610	771	129	0	0	0	0	0
oenoen	610	24	128	0	0	0	0	0
cincin	610	60	101	0	0	0	0	0
fichyp	610	13	112	0	0	0	0	0
turtor	610	100	143	0	0	0	0	0
nycnyc	610	646	127	0	0	0	0	0
carery	610	22	96	0	0	0	0	0
anaque	610	358	86	0	0	0	0	0
porpor	610	90	131	0	0	0	0	0
milmil	610	1389	124	0	0	0	0	0
galcri	610	43	114	0	0	0	0	0
